Date,Price,Open,High,Low,Volume,Chg%
2025-07-10,96678,96540,96944,96359,28271,0.24
2025-07-09,96451,96600,96600,95836,32799,-0.04
2025-07-08,96485,97001,97228,96051,38763,-0.77
2025-07-07,97231,96500,97289,96350,30663,0.27
2025-07-04,96967,96894,97100,96801,16898,0.17
2025-07-03,96801,97499,97795,96465,46469,-0.56
2025-07-02,97351,97198,97459,96962,31271,0.12
2025-07-01,97239,96298,97623,96298,46217,1.63
2025-06-30,95678,95100,95765,94778,9095,0.81
2025-06-27,94908,95910,95910,94518,27196,-1.6
2025-06-26,96452,97010,97079,96028,20511,-0.32
2025-06-25,96760,96926,96999,96483,25767,0.25
2025-06-24,96521,98111,98294,96265,46784,-2.36
2025-06-23,98852,98573,99231,98350,37025,0.28
2025-06-20,98574,98680,98680,98017,32491,-0.3
2025-06-19,98868,98800,99040,98254,33811,-0.18
2025-06-18,99045,98905,99250,98617,34285,0.14
2025-06-17,98911,98440,99090,98260,38156,0.32
2025-06-16,98594,99818,99929,98251,43351,-0.97
2025-06-13,99555,98190,99890,98190,56997,1.81
2025-06-12,97786,96789,98000,96789,58023,1.58
2025-06-11,96267,96668,97091,96190,41023,-0.18
2025-06-10,96442,96477,96950,95877,39304,-0.27
2025-06-09,96703,96408,96827,95856,33278,0.06
2025-06-06,96645,97597,98076,96460,46210,-0.79
2025-06-05,97415,97870,98658,97120,55501,-0.57
2025-06-04,97973,97397,98052,97150,39705,0.79
2025-06-03,97208,97250,97429,96760,29688,-0.19
2025-06-02,97393,95673,97478,95660,51925,2.83
2025-05-30,94712,94820,95190,94418,7692,-0.61
2025-05-29,95295,94940,95600,94451,25080,0.12
2025-05-28,95177,94941,95750,94940,19680,0.13
2025-05-27,95055,95782,96004,94905,29463,-0.79
2025-05-26,95814,95867,95991,95390,23656,-0.41
2025-05-23,96210,95529,96359,95440,36730,0.78
2025-05-22,95461,95900,96243,95120,47922,-0.01
2025-05-21,95473,95000,95640,94922,37674,0.75
2025-05-20,94761,93010,94800,92800,48431,1.55
2025-05-19,93314,92871,93790,92871,39790,0.94
2025-05-16,92443,92889,93549,91668,61604,-0.76
2025-05-15,93155,91960,93417,90970,64255,0.92
2025-05-14,92305,93439,93650,92076,50124,-1.45
2025-05-13,93659,93000,94163,92910,42601,0.76
2025-05-12,92948,95840,95840,92460,68480,-3.67
2025-05-09,96490,96081,96733,95831,36158,0.35
2025-05-08,96153,97200,97299,95364,71860,-0.94
2025-05-07,97065,96666,97375,96518,37216,-0.41
2025-05-06,97460,94978,97500,94978,49584,2.95
2025-05-05,94667,93311,94842,92956,41560,2.13
2025-05-02,92692,92948,93446,92425,52253,0.34
2025-05-01,92382,94002,95155,91880,38519,-2.47
2025-04-30,94718,95350,95373,93707,61401,-0.88
2025-04-29,95559,95303,95856,95097,5766,-0.62
2025-04-28,96159,94809,96262,94300,27164,1.14
2025-04-25,95071,95977,96101,94268,36140,-0.77
2025-04-24,95807,95200,95997,95050,42952,1.35
2025-04-23,94530,96000,96000,93896,68188,-2.6
2025-04-22,97057,96964,99704,96303,80406,0.27
2025-04-21,96800,95550,96900,94037,35929,2.13
2025-04-17,94784,95345,95476,93856,49630,-0.4
2025-04-16,95163,93550,95268,93550,46672,2.25
2025-04-15,93071,92835,93165,92625,22481,0.25
2025-04-14,92835,93549,93549,92334,24038,-0.48
2025-04-11,93280,91999,93484,91999,48636,1.78
2025-04-10,91646,90439,91948,90240,34870,2.41
2025-04-09,89489,87650,90439,87650,67769,2.33
2025-04-08,87449,87148,88145,87148,34767,0.73
2025-04-07,86819,88001,88569,86651,53976,-1.27
2025-04-04,87940,89237,90407,87773,74078,-2.03
2025-04-03,89763,90630,90937,88512,76839,-0.67
2025-04-02,90364,90710,90749,90128,24651,-0.05
2025-04-01,90409,90360,90920,90011,28184,0.3
2025-03-31,90138,88887,90298,88887,3264,1.55
2025-03-28,88759,88280,88850,88280,16479,0.62
2025-03-27,88213,87666,88375,87665,19889,0.81
2025-03-26,87506,87552,87844,87341,17163,-0.07
2025-03-25,87566,86802,87949,86802,16920,0.29
2025-03-24,87313,87879,87930,87191,17733,-0.54
2025-03-21,87785,88450,88483,87355,26283,-0.97
2025-03-20,88646,88850,89000,88320,18484,0.09
2025-03-19,88564,88776,88968,88405,19141,-0.11
2025-03-18,88660,88299,88775,88241,22231,0.78
2025-03-17,87976,87701,88125,87679,17635,0.06
2025-03-14,87924,87909,88248,87627,12655,0.26
2025-03-13,87694,86746,87796,86530,26749,1.19
2025-03-12,86661,86197,86700,85845,26010,0.64
2025-03-11,86113,85656,86171,85520,18913,0.76
2025-03-10,85460,85850,86110,85352,23266,-0.51
2025-03-07,85896,85799,86315,85703,26919,-0.12
2025-03-06,86002,86089,86148,85400,24359,0.18
2025-03-05,85848,86250,86250,85450,26706,-0.18
2025-03-04,86007,85391,86286,85346,27305,0.76
2025-03-03,85355,84470,85399,84470,22181,1.29
2025-02-28,84269,84960,85000,84083,30763,-1.0
2025-02-27,85123,85736,85875,84780,5943,-0.83
2025-02-26,85837,85941,85941,85300,10503,0.29
2025-02-25,85589,86177,86380,85130,23226,-0.51
2025-02-24,86030,85847,86240,85730,22067,0.27
2025-02-21,85795,85630,85850,85325,17775,-0.04
2025-02-20,85830,86280,86339,85400,20977,0.13
2025-02-19,85719,85730,86350,85610,25200,-0.03
2025-02-18,85742,84967,85775,84966,19944,1.16
2025-02-17,84759,84791,84895,84346,15711,0.51
2025-02-14,84331,85500,85856,84285,35299,-1.21
2025-02-13,85368,85350,85580,85181,18828,0.4
